ventas_promedio,n_empleados,clientes_dia,gastos_operacion,area_m2,tiempo_servicio_prom,satisfaccion_clientes
274835.70765056164,13,470.893213970257,78826.58124874625,334.3070962120883,3.6975531738084433,3.8959064281093925
243086.78494144077,11,283.8507256071862,70300.63806522849,229.40958896293387,3.959016577974591,4.116077384081767
282384.42690503463,19,306.800062182919,66690.18766092806,374.17816208129796,5.083372642972988,3.6825688116792077
326151.49282040127,6,387.7883267583234,64496.58353403205,289.5121234622745,4.658614488324599,5.0
238292.3312638332,24,212.3385701677317,64575.00817814593,351.6498039548195,3.8397976054157485,4.912670732815306
238293.15215254098,16,204.94502267512956,62449.29079620199,231.19164917910328,4.09348121720157,3.1255893802606267
328960.6407753696,5,388.0952835693413,60601.78623654868,287.92900822408876,4.848820094317267,3.423098153382046
288371.7364576454,12,305.5052369537831,28622.03858173699,347.15079542838686,4.988464995013558,4.229361422601033
226526.28070325239,9,259.8504893105844,54463.0909039126,301.3962221339738,4.593543235232114,3.464060819963635
277128.00217929826,19,410.33731729473203,56395.48792277628,262.30150573547957,3.6967567094483575,4.091452579729127
226829.11535937688,5,268.8078340892007,48765.40354094932,365.4906667596062,4.211231749223902,4.005352163358124
226713.51232148716,5,322.5487700451076,51658.54595656796,241.42928039530057,6.1666940425375385,3.980216087101024
262098.1135783017,14,260.3869532027487,64511.23525771193,298.9786628876494,3.6523881768176323,4.509399990076508
154335.9877671101,14,380.3437186249824,71513.8511542494,332.00853554413226,4.762453007913377,4.903709689711288
163754.10837434838,19,483.2076192716774,64488.54692877662,404.78451649801826,5.984583096733825,4.198038763984292
221885.62353795135,21,163.89600706678854,71136.66357970434,277.0822203627147,4.308561036686527,3.3939603524452164
199358.44398327882,10,361.26576887506457,71401.62046222035,286.1774373170082,5.783662701554647,4.0719428133258715
265712.3666297637,7,435.65884418863504,55504.4160970822,277.76544333247625,4.018620765465698,3.707924470099454
204598.79622393945,17,307.85222526942266,67879.61193753226,311.92350794572735,3.1175734782514204,4.996136735870803
179384.8149332354,20,236.89576257041148,33804.4128056448,329.3964133998932,4.094505418937665,4.346580758901468
323282.4384460777,12,392.0963527127404,54235.121597118414,354.66566893341593,3.9696064990391755,4.201259721622117
238711.1849756732,19,450.16535033771004,52472.226158005506,337.8023887990405,3.3308752653086415,4.324802956750158
