ventas_diarias,clientes,ticket_promedio,productos_vendidos,descuentos,publicidad,competencia_precios,satisfaccion_clientes,dias_festivos,ventas_online,ventas_tienda,gastos_operativos,inventario,personal,region
224.83570765056163,29,165.9286073328422,77,2.764211322559585,782.9688330510736,89.16761257717457,3.7947204056567516,1,67.82034195305567,96.69945616366552,523.6156406987923,760.1767730031135,17,Sur
193.08678494144075,18,183.279725596162,98,3.4317769318875224,200.0,117.01807496512112,3.937855770258502,0,113.6268627498461,116.06657358963626,612.848888838915,1261.0437760936097,13,Este
232.38442690503462,33,143.50284147002907,63,7.228164872270877,851.6522194353554,127.81646350774962,4.707110336345163,0,115.96728350470345,184.52630003835534,434.0984151506652,698.2080714734552,16,Sur
276.15149282040124,25,167.19261573709693,74,3.8167083693151085,1011.2935195291449,77.00497632094854,3.4332145894762722,0,74.8323231567534,182.10890422629666,570.3724208068971,1001.9263845698242,15,Oeste
188.2923312638332,26,130.3596100557819,73,1.957134038171385,959.1592453399079,85.65747909623995,4.302144195679391,0,85.49210330340793,157.67888530369095,316.7828899141026,903.3270241923499,7,Este
188.29315215254098,28,136.26535208865297,80,6.065192975228131,1594.0463054594177,86.75981766759105,3.720693113434436,0,56.073263213796025,128.09671149161676,675.8754539410738,871.9151906450322,19,Norte
278.9606407753696,36,157.69932832095267,82,3.9055631194680545,1172.471812274511,114.02202494043482,4.889038938375821,0,28.70274666938881,140.71877710196964,599.4757761507215,965.5614768783025,17,Norte
238.37173645764545,27,165.97133346221182,79,8.5795815406168,1159.1355559267452,124.586981918943,4.031723364332668,0,133.65015060388237,134.8255319458157,431.93250027910284,933.4634557681554,11,Norte
176.52628070325238,35,172.41873024812492,76,5.592369107976927,507.0192896289166,83.79621157632882,4.630189259070021,0,10.325388482193816,113.32292825383529,582.9817777833716,1211.4123228439835,19,Norte
227.12800217929822,25,181.39257173878985,75,5.320518573283331,890.6073837648602,121.2211800695233,3.6193363257694355,0,24.92479047006342,103.82520762238408,631.3182899459933,1265.6589414886064,10,Sur
176.82911535937689,29,148.65106882889637,77,4.261512216768486,854.0011578028914,89.36448832706947,3.375735658837866,0,133.89217565478938,164.89471781204503,371.13314161832716,1085.2607927321505,20,Sur
176.71351232148714,36,173.87223510345177,80,8.181670667853943,764.1756403575977,105.04184354418358,3.882870271399444,1,80.4984621401134,68.17489804415459,440.0122101025219,952.7854924323267,10,Norte
212.0981135783017,28,143.15390313101702,83,5.717108919779642,760.035800345996,80.92819450858273,4.1313417289734184,0,46.222552787358715,179.4943310899457,634.6083413842932,1051.6939741616834,11,Este
104.33598776711011,36,168.04182623176536,79,4.183000963687587,457.5631138175129,98.17104379627003,3.7446341589917935,1,100.48110893267935,108.98228773008742,506.7472889439963,1161.0051133488869,14,Sur
113.75410837434836,29,154.14977595704363,89,3.411832586789106,617.2440385956015,98.33330928890926,4.379153713137484,0,103.19159918137933,67.4378598120927,543.6166165699483,1200.339661280836,19,Sur
171.88562353795137,40,158.91355814163848,85,4.853053890871564,1262.2280208294846,95.2726254052709,3.8950232160947853,0,40.01943064556767,98.17980569213552,507.01972286062903,1074.0093693970025,15,Este
